Ref,Val,Package,PosX,PosY,Rot,Side
"J1","GPIO","PinSocket_2x20_P2.54mm_Vertical",8.370000,25.230000,-90.000000,bottom
"J6","CONN","PinHeader_1x04_P2.54mm_Vertical",2.000000,17.550000,180.000000,bottom
"J10","CONN","PinHeader_1x04_P2.54mm_Vertical",10.700000,21.500000,-90.000000,bottom
"BT3","Battery_Cell","cr1220-2",53.500000,12.250000,180.000000,top
"C4","100nF","C_0402_1005Metric",16.650000,7.020000,90.000000,top
"C6","100nF","C_0402_1005Metric",10.725000,2.125000,0.000000,top
"C10","47uF","C_1206_3216Metric",5.900000,21.500000,180.000000,top
"C30","100nF","C_0402_1005Metric",22.820000,14.500000,0.000000,top
"C33","100nF","C_0402_1005Metric",31.950000,3.900000,180.000000,top
"C34","10uF","C_0402_1005Metric",31.950000,2.800000,180.000000,top
"D5","RLED","LED_0603_1608Metric",23.400000,8.100000,90.000000,top
"D9","1N5819WS","D_SOD-323",24.700000,4.650000,90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",22.950000,18.770000,90.000000,top
"J4","CONN","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",17.200000,12.250000,0.000000,top
"Q2","2N7002","SOT-23",10.162500,15.290000,180.000000,top
"Q3","2N7002","SOT-23",10.100000,11.740000,180.000000,top
"R5","10K","R_0402_1005Metric",7.725000,4.690000,90.000000,top
"R6","1K","R_0603_1608Metric",23.400000,11.200000,-90.000000,top
"R20","10K","R_0402_1005Metric",13.000000,15.240000,-90.000000,top
"R21","10K","R_0402_1005Metric",13.000000,11.760000,-90.000000,top
"R24","10K","R_0402_1005Metric",7.200000,15.600000,90.000000,top
"R25","10K","R_0402_1005Metric",7.300000,10.800000,-90.000000,top
"U5","DS1307Z+","SOIC-8_3.9x4.9mm_P1.27mm",12.175000,5.655000,180.000000,top
"U13","Ai-Thinker-Ra-01","Ai-Thinker-Ra-01-LoRa",34.950000,13.950000,90.000000,top
"Y1","32.768Khz","Crystal_SMD_G8-2Pin_3.2x1.5mm",18.650000,4.250000,90.000000,top
